sku,pick_frequency,total_quantity_ea,active_days,cumulative_frequency_share,velocity_class,req_max_item_length,req_max_item_width,req_max_item_height,req_max_item_weight,physical_data_status,physical_storage_class
143381,45,66.0,9,0.99736,C,,,,,MISSING,UNVERIFIED_OVERSIZE
110459,44,295.0,32,0.997405,C,,,,,MISSING,UNVERIFIED_OVERSIZE
112267,44,342.0,29,0.99745,C,5.5,4.5,14.8,,MISSING,UNVERIFIED_OVERSIZE
134553,44,1200.0,27,0.997494,C,11.3,12.9,9.2,570.0,COMPLETE,OVERWEIGHT
149920,44,2200.0,15,0.997539,C,,,,,MISSING,UNVERIFIED_OVERSIZE
112051,43,372.0,31,0.997583,C,13.5,5.0,5.5,,MISSING,UNVERIFIED_OVERSIZE
121710,43,76.0,33,0.997627,C,,,,,MISSING,UNVERIFIED_OVERSIZE
122675,43,2150.0,23,0.99767,C,5.1,11.5,4.7,170.0,COMPLETE,STANDARD
127468,43,300.0,36,0.997714,C,,,,,MISSING,UNVERIFIED_OVERSIZE
101059,42,64.0,28,0.997757,C,,,,,MISSING,UNVERIFIED_OVERSIZE
112440,42,630.0,28,0.9978,C,,,,,MISSING,UNVERIFIED_OVERSIZE
118396,42,1989.0,37,0.997842,C,,,,,MISSING,UNVERIFIED_OVERSIZE
112004,41,3250.0,10,0.997884,C,41.5,8.5,6.5,,MISSING,UNVERIFIED_OVERSIZE
139243,41,770.0,1,0.997926,C,,,,,MISSING,UNVERIFIED_OVERSIZE
101036,40,83.0,30,0.997966,C,6.3,10.5,4.0,15.0,COMPLETE,STANDARD
107321,40,164.0,37,0.998007,C,2.1,11.2,2.0,,MISSING,UNVERIFIED_OVERSIZE
107344,40,129.0,7,0.998048,C,20.0,4.0,6.0,,MISSING,UNVERIFIED_OVERSIZE
107429,40,65.0,29,0.998088,C,,,,,MISSING,UNVERIFIED_OVERSIZE
111236,40,350.0,31,0.998129,C,8.5,3.5,6.0,,MISSING,UNVERIFIED_OVERSIZE
118539,40,1210.0,24,0.99817,C,25.0,10.0,13.0,,MISSING,UNVERIFIED_OVERSIZE
122682,40,110.0,35,0.998211,C,4.2,14.7,6.0,30.0,COMPLETE,STANDARD
127444,40,71.0,33,0.998251,C,4.0,4.1,7.1,40.0,COMPLETE,STANDARD
112398,39,530.0,34,0.998291,C,6.7,13.2,6.7,,MISSING,UNVERIFIED_OVERSIZE
113118,39,59.0,34,0.998331,C,4.5,4.5,7.5,,MISSING,UNVERIFIED_OVERSIZE
110387,38,780.0,26,0.998369,C,,,,,MISSING,UNVERIFIED_OVERSIZE
116041,37,400.0,12,0.998407,C,,,,,MISSING,UNVERIFIED_OVERSIZE
107173,36,500.0,34,0.998444,C,4.9,10.5,5.2,,MISSING,UNVERIFIED_OVERSIZE
110918,35,400.0,30,0.998479,C,5.3,14.0,4.8,50.0,COMPLETE,STANDARD
115573,35,580.0,24,0.998515,C,5.7,6.7,9.3,70.0,COMPLETE,STANDARD
120359,35,189.0,13,0.99855,C,13.7,2.5,5.8,,MISSING,UNVERIFIED_OVERSIZE
135156,34,219.0,26,0.998585,C,,,,,MISSING,UNVERIFIED_OVERSIZE
111378,33,440.0,29,0.998619,C,8.5,6.2,8.0,,MISSING,UNVERIFIED_OVERSIZE
114747,33,39.0,1,0.998652,C,,,,,MISSING,UNVERIFIED_OVERSIZE
124012,33,46.0,27,0.998686,C,9.0,4.0,8.8,,MISSING,UNVERIFIED_OVERSIZE
105271,32,1000.0,4,0.998718,C,17.0,14.3,9.4,,MISSING,UNVERIFIED_OVERSIZE
107110,32,50.0,28,0.998751,C,,,,,MISSING,UNVERIFIED_OVERSIZE
112193,32,400.0,16,0.998783,C,12.5,6.0,7.0,,MISSING,UNVERIFIED_OVERSIZE
101031,31,500.0,8,0.998815,C,20.0,7.1,8.1,,MISSING,UNVERIFIED_OVERSIZE
133307,31,94.0,27,0.998846,C,,,,,MISSING,UNVERIFIED_OVERSIZE
114745,30,1500.0,4,0.998877,C,10.0,7.5,8.4,,MISSING,UNVERIFIED_OVERSIZE
101165,29,2000.0,17,0.998906,C,17.5,3.8,12.0,,MISSING,UNVERIFIED_OVERSIZE
125831,29,159.0,20,0.998936,C,6.7,11.7,2.6,30.0,COMPLETE,STANDARD
132495,29,147.0,26,0.998965,C,,,,,MISSING,UNVERIFIED_OVERSIZE
107229,27,43.0,17,0.998993,C,10.0,2.5,5.5,,MISSING,UNVERIFIED_OVERSIZE
110441,27,210.0,25,0.99902,C,,,,,MISSING,UNVERIFIED_OVERSIZE
124234,27,4000.0,19,0.999048,C,4.5,4.5,7.5,,MISSING,UNVERIFIED_OVERSIZE
110623,24,330.0,19,0.999072,C,13.5,5.8,6.5,,MISSING,UNVERIFIED_OVERSIZE
140965,24,400.0,18,0.999097,C,,,,,MISSING,UNVERIFIED_OVERSIZE
115572,23,350.0,12,0.99912,C,,,,,MISSING,UNVERIFIED_OVERSIZE
104357,22,80.0,12,0.999142,C,,,,,MISSING,UNVERIFIED_OVERSIZE
107135,22,36.0,20,0.999165,C,13.0,5.8,6.2,,MISSING,UNVERIFIED_OVERSIZE
107217,22,57.0,10,0.999187,C,4.5,4.5,11.5,,MISSING,UNVERIFIED_OVERSIZE
136977,21,270.0,6,0.999209,C,,,,,MISSING,UNVERIFIED_OVERSIZE
112254,20,100.0,4,0.999229,C,4.5,4.5,10.0,,MISSING,UNVERIFIED_OVERSIZE
111314,19,200.0,15,0.999248,C,10.2,4.5,4.0,,MISSING,UNVERIFIED_OVERSIZE
112027,19,500.0,4,0.999268,C,9.5,7.5,5.6,,MISSING,UNVERIFIED_OVERSIZE
122778,19,292.0,14,0.999287,C,,,,,MISSING,UNVERIFIED_OVERSIZE
123753,19,210.0,17,0.999306,C,8.5,4.0,5.5,,MISSING,UNVERIFIED_OVERSIZE
132494,18,165.0,8,0.999325,C,,,,,MISSING,UNVERIFIED_OVERSIZE
135181,18,156.0,16,0.999343,C,,,,,MISSING,UNVERIFIED_OVERSIZE
139154,18,240.0,5,0.999361,C,,,,,MISSING,UNVERIFIED_OVERSIZE
131530,17,78.0,5,0.999378,C,6.2,10.3,2.9,13.0,COMPLETE,STANDARD
111279,16,1980.0,6,0.999395,C,21.5,9.0,11.0,,MISSING,UNVERIFIED_OVERSIZE
113143,16,1000.0,5,0.999411,C,,,,,MISSING,UNVERIFIED_OVERSIZE
122938,16,21.0,15,0.999427,C,5.7,14.7,9.7,85.0,COMPLETE,STANDARD
101133,15,61.0,10,0.999443,C,,,,,MISSING,UNVERIFIED_OVERSIZE
101289,15,23.0,14,0.999458,C,9.2,2.0,6.5,,MISSING,UNVERIFIED_OVERSIZE
110308,15,170.0,8,0.999473,C,8.0,6.5,8.0,,MISSING,UNVERIFIED_OVERSIZE
112080,15,250.0,14,0.999488,C,7.0,11.2,7.2,90.0,COMPLETE,STANDARD
126301,15,210.0,12,0.999504,C,,,,,MISSING,UNVERIFIED_OVERSIZE
107349,14,16.0,12,0.999518,C,,,,,MISSING,UNVERIFIED_OVERSIZE
112516,14,2000.0,5,0.999532,C,,,,,MISSING,UNVERIFIED_OVERSIZE
118529,14,39.0,13,0.999546,C,4.2,12.6,7.5,12.0,COMPLETE,STANDARD
125500,14,51.0,13,0.999561,C,,,,,MISSING,UNVERIFIED_OVERSIZE
136877,14,214.0,10,0.999575,C,,,,,MISSING,UNVERIFIED_OVERSIZE
107441,13,66.0,9,0.999588,C,4.0,4.0,10.0,,MISSING,UNVERIFIED_OVERSIZE
110505,13,1800.0,3,0.999601,C,25.5,9.3,18.0,,MISSING,UNVERIFIED_OVERSIZE
113209,13,354.0,11,0.999614,C,7.7,10.5,22.2,560.0,COMPLETE,OVERSIZE_AND_OVERWEIGHT
127445,13,20.0,10,0.999628,C,4.0,4.1,7.1,43.0,COMPLETE,STANDARD
136918,13,20.0,11,0.999641,C,,,,,MISSING,UNVERIFIED_OVERSIZE
117146,12,18.0,10,0.999653,C,,,,,MISSING,UNVERIFIED_OVERSIZE
139148,11,44.0,10,0.999664,C,,,,,MISSING,UNVERIFIED_OVERSIZE
107112,10,18.0,8,0.999674,C,,,,,MISSING,UNVERIFIED_OVERSIZE
113230,10,24.0,7,0.999685,C,12.0,3.5,4.5,,MISSING,UNVERIFIED_OVERSIZE
118493,10,168.0,5,0.999695,C,3.9,8.6,2.5,30.0,COMPLETE,STANDARD
119516,10,19.0,5,0.999705,C,,,,,MISSING,UNVERIFIED_OVERSIZE
137931,10,500.0,6,0.999715,C,,,,,MISSING,UNVERIFIED_OVERSIZE
111359,9,180.0,5,0.999724,C,4.8,9.7,5.0,50.0,COMPLETE,STANDARD
