sku,handling_unit_id,from_rack,to_rack,from,to
101185,SHELF_221,G19_13,G14_2,Z14/A01/B-G19_13/L01/S01,Z12/A02/B-G14_2/L01/S02
101187,SHELF_028,G22_15,G20_13,Z15/A02/B-G22_15/L01/S02,Z14/A02/B-G20_13/L01/S04
101189,SHELF_153,G22_13,G14_5,Z15/A02/B-G22_13/L02/S01,Z10/A02/B-G14_5/L02/S02
101191,SHELF_110,G10_15,G21_8,Z09/A01/B-G10_15/L03/S01,Z15/A01/B-G21_8/L01/S04
101192,SHELF_174,G4_10,G5_8,Z01/A03/B-G4_10/L03/S02,Z01/A04/B-G5_8/L01/S02
101193,SHELF_006,G11_14,G20_15,Z09/A02/B-G11_14/L01/S03,Z14/A02/B-G20_15/L02/S02
101195,SHELF_189,G19_8,G27_7,Z14/A01/B-G19_8/L02/S04,Z17/A01/B-G27_7/L01/S03
101198,SHELF_063,G24_14,G24_12,Z16/A01/B-G24_14/L03/S01,Z16/A01/B-G24_12/L02/S02
101199,SHELF_296,G4_14,G36_9,Z04/A03/B-G4_14/L03/S02,Z20/A02/B-G36_9/L02/S01
101200,SHELF_119,G17_13,G3_12,Z13/A02/B-G17_13/L02/S04,Z04/A02/B-G3_12/L01/S02
101202,SHELF_177,G24_15,G13_4,Z16/A01/B-G24_15/L03/S01,Z10/A01/B-G13_4/L01/S01
101203,SHELF_074,G22_13,G2_15,Z15/A02/B-G22_13/L03/S02,Z04/A01/B-G2_15/L01/S02
101207,SHELF_132,G13_14,G13_6,Z10/A01/B-G13_14/L02/S01,Z10/A01/B-G13_6/L01/S01
101211,SHELF_167,G16_12,G33_13,Z13/A01/B-G16_12/L02/S04,Z18/A04/B-G33_13/L01/S01
101215,SHELF_040,G11_12,G24_14,Z09/A02/B-G11_12/L03/S01,Z16/A01/B-G24_14/L02/S01
101218,SHELF_236,G21_13,G36_13,Z15/A01/B-G21_13/L02/S03,Z20/A02/B-G36_13/L01/S04
101219,SHELF_244,G8_14,G10_2,Z06/A02/B-G8_14/L02/S02,Z11/A01/B-G10_2/L01/S02
101221,SHELF_008,G25_15,G21_15,Z16/A02/B-G25_15/L02/S02,Z15/A01/B-G21_15/L02/S02
101233,SHELF_287,G27_12,G36_10,Z17/A01/B-G27_12/L02/S02,Z20/A02/B-G36_10/L01/S02
101234,SHELF_274,G16_8,G35_10,Z13/A01/B-G16_8/L02/S01,Z20/A01/B-G35_10/L01/S03
101235,SHELF_195,G2_10,G4_8,Z01/A01/B-G2_10/L02/S01,Z01/A03/B-G4_8/L01/S03
101244,SHELF_071,G14_12,G4_14,Z10/A02/B-G14_12/L02/S03,Z04/A03/B-G4_14/L01/S04
101254,SHELF_020,G24_13,G13_13,Z16/A01/B-G24_13/L02/S03,Z10/A01/B-G13_13/L02/S02
101256,SHELF_290,G25_12,G5_2,Z16/A02/B-G25_12/L02/S02,Z05/A04/B-G5_2/L01/S02
101265,SHELF_228,G24_13,G8_4,Z16/A01/B-G24_13/L01/S02,Z06/A02/B-G8_4/L01/S03
101266,SHELF_227,G4_9,G3_7,Z01/A03/B-G4_9/L03/S02,Z01/A02/B-G3_7/L01/S03
101271,SHELF_261,G2_14,G21_1,Z04/A01/B-G2_14/L02/S01,Z15/A01/B-G21_1/L02/S01
101273,SHELF_191,G21_10,G31_10,Z15/A01/B-G21_10/L01/S04,Z19/A02/B-G31_10/L01/S02
101275,SHELF_066,G17_12,G8_12,Z13/A02/B-G17_12/L01/S01,Z06/A02/B-G8_12/L02/S04
101276,SHELF_084,G21_14,G3_14,Z15/A01/B-G21_14/L02/S02,Z04/A02/B-G3_14/L01/S01
101277,SHELF_253,G14_8,G27_4,Z10/A02/B-G14_8/L03/S03,Z17/A01/B-G27_4/L01/S01
101279,SHELF_286,G4_14,G35_9,Z04/A03/B-G4_14/L02/S04,Z20/A01/B-G35_9/L01/S03
101280,SHELF_199,G4_9,G2_9,Z01/A03/B-G4_9/L01/S02,Z01/A01/B-G2_9/L01/S03
101281,SHELF_143,G28_15,G32_13,Z17/A02/B-G28_15/L03/S01,Z18/A03/B-G32_13/L01/S02
