sku,max_item_length,max_item_width,max_item_height,max_item_weight,chilled,tablet,flammable
110234,0.075,0.146,0.026,0.045,false,true,false
110236,0.085,0.075,0.055,0.04806,false,true,false
110239,0.042,0.119,0.065,0.025,false,false,false
110241,0.137,0.03,0.072,0.04056,true,false,false
110242,0.042,0.147,0.075,0.035,false,false,false
110243,0.145,0.035,0.08,0.05565,false,true,false
110246,0.035,0.108,0.045,0.02,true,true,false
110248,0.11,0.023,0.057,0.01977,false,true,false
110250,0.147,0.02,0.076,0.03062,false,true,false
110251,0.039,0.112,0.055,0.025,false,false,false
110252,0.067,0.147,0.047,0.05,false,false,false
110253,0.054,0.163,0.07,0.05,false,true,false
110254,0.049,0.14,0.057,0.01,false,true,false
110255,0.043,0.124,0.055,0.015,true,true,false
110256,0.036,0.11,0.065,0.01,false,true,false
110257,0.065,0.095,0.085,0.07194,false,true,false
110258,0.09,0.068,0.042,0.03523,false,true,false
110259,0.097,0.131,0.093,0.18,false,false,false
110261,0.086,0.183,0.04,0.045,false,true,false
110262,0.031,0.106,0.047,0.035,false,true,false
110263,0.113,0.031,0.06,0.02881,false,true,false
110265,0.11,0.029,0.057,0.02492,false,true,false
110266,0.1,0.04,0.05,0.02741,false,false,false
110267,0.061,0.13,0.077,0.08369,false,true,false
110268,0.109,0.042,0.055,0.03451,false,false,false
110269,0.155,0.105,0.035,0.07807,false,true,false
110270,0.071,0.14,0.031,0.013,false,false,false
110273,0.113,0.032,0.06,0.02974,false,true,false
110274,0.063,0.09,0.033,0.014,false,false,false
110276,0.071,0.094,0.06,0.05488,false,false,true
110278,0.202,0.083,0.166,0.18,false,true,false
110282,0.06,0.115,0.09,0.08512,false,true,false
110283,0.046,0.101,0.059,0.05,false,false,false
110284,0.116,0.02,0.05,0.0159,false,false,false
110285,0.102,0.042,0.072,0.04861,false,true,false
110286,0.04,0.101,0.077,0.12,false,false,false
110289,0.09,0.02,0.05,0.01234,false,true,false
110290,0.042,0.091,0.052,0.03,false,false,true
110291,0.03,0.12,0.055,0.045,true,true,false
110292,0.043,0.044,0.084,0.035,false,true,false
110293,0.05,0.116,0.041,0.05,false,true,false
110294,0.043,0.101,0.041,0.015,false,true,false
110295,0.215,0.125,0.12,0.18,true,false,false
110296,0.053,0.12,0.065,0.055,false,false,false
110297,0.091,0.129,0.096,0.1,false,true,false
110298,0.13,0.09,0.09,0.14433,false,true,false
110299,0.13,0.09,0.09,0.14433,false,true,false
110300,0.032,0.1,0.052,0.015,false,true,false
110301,0.096,0.164,0.059,0.11,false,true,false
110302,0.133,0.04,0.077,0.05615,false,true,false
110303,0.155,0.02,0.057,0.02422,false,false,false
110305,0.094,0.165,0.061,0.12,true,false,false
110306,0.04,0.13,0.074,0.095,false,false,false
110307,0.065,0.193,0.084,0.185,false,false,false
110308,0.08,0.065,0.08,0.05702,false,false,false
110309,0.049,0.122,0.034,0.02786,false,false,false
110310,0.071,0.094,0.06,0.05488,false,false,false
110311,0.051,0.118,0.025,0.02,false,true,false
110313,0.13,0.03,0.063,0.03368,false,true,false
110314,0.038,0.074,0.046,0.06,false,false,false
110316,0.055,0.03,0.13,0.0294,false,false,false
110317,0.09,0.038,0.05,0.02344,false,true,false
110319,0.164,0.057,0.095,0.12172,false,false,false
110322,0.04,0.085,0.024,0.045,false,true,false
110323,0.071,0.113,0.071,0.015,false,true,false
110324,0.07,0.065,0.11,0.0686,false,true,false
110325,0.064,0.114,0.07,0.105,false,true,false
110326,0.041,0.129,0.076,0.008,false,false,false
110328,0.169,0.066,0.08,0.1223,false,false,false
110329,0.069,0.097,0.098,0.17,false,true,false
110332,0.071,0.094,0.06,0.05488,false,true,false
110333,0.028,0.091,0.042,0.025,false,true,false
110335,0.09,0.099,0.08,0.115,false,true,false
110336,0.047,0.122,0.045,0.025,false,true,false
110338,0.115,0.025,0.064,0.02522,false,true,false
110339,0.125,0.095,0.075,0.12207,true,true,false
110341,0.048,0.116,0.067,0.055,false,true,false
110342,0.076,0.121,0.091,0.185,false,false,false
